"0,""TERROR,AFRAID,SCARE,FRIGHT"""
"1,""BOYS,GUYS,JERK"""
"1337,""DIGNITY,TRUST,INTEGRITY,HONESTY,RESPECT"""
"1338,""PENCIL,PEN,PAPER"""
"1339,""BELOW,BOTTOM,LOWER,UNDER"""
"1340,""HARD,SCIENCE,CHEMISTRY"""
"1341,""ASK,INFORMATION,REQUEST"""
"1342,""CREST,CRESCENT,MOON"""
"1343,""CANVASS,CANVAS,MATERIAL"""
"1344,""JUVENILE,PUBERTY,ADOLESCENT,YOUNG,YOUTH,TEENAGER,CHILD,BABY,DELINQUENT"""
"1345,""STAIRWAY,ASCENT,HEAVEN,ASCEND"""
"1346,""MARRY,COMMITMENT,VOW,PROMISE,WEDDING,MARRIAGE,OATH"""
"1347,""BLIND,FOG,UNCLEAR,SIGHT,BLUR"""
"1348,""PROFESSIONAL,PROFESSOR,EXPERT"""
"1349,""ASK,RECEIVE,ACQUIRE,GET"""
"1350,""OUTDOORS,TREES,NATURE"""
"1351,""WHISPER,YELL,SHOUT,SCREAM"""
"1352,""PEPPER,SPICY,SEASONING,HOT,CHILI,SPICE"""
"1353,""FRESH,MINT,MINTS"""
"1354,""FOOD,MOUTH,EAT"""
"1355,""INCH,DISTANCE,LENGTH,MILE,LONG"""
"1356,""ALWAYS,OFTEN,DAILY"""
"1357,""SIMPLE,EASE,COMPLEX,DIFFICULT"""
"1358,""LOCK,SECURITY,PROTECTION,SAFETY"""
"1359,""AUTUMN,SEASON,LEAVES,FALL"""
"1360,""DIFFER,SIMILAR,AGREE,SAME"""
"1361,""TISSUE,CRY,KLEENEX,HANDKERCHIEF,SAD"""
"1362,""TAG,LICENSE,PERMIT"""
"1363,""FORESIGHT,INTELLIGENCE,INSIGHT,WISDOM"""
"1364,""DAWN,EVENING,TWILIGHT,DUSK"""
"1365,""SUM,TOTAL,WHOLE"""
"1366,""DOMAIN,TERRITORY,MINE"""
"1367,""SPHINX,STATUE,MONUMENT"""
"1368,""KIND,GOODNESS,NICE"""
"1369,""BEAR,WOODS,FOREST,WILDERNESS"""
"1370,""KNIGHT,SHIELD,MEDIEVAL"""
"1371,""EGYPT,TOMB,PYRAMID"""
"1372,""HIKE,CLIMB,HIKING"""
"1373,""TREND,STYLE,FASHION,FAD,CLOTHES"""
"1374,""AXON,BRAIN,NEURON,NUCLEUS"""
"1375,""START,BEGIN,ORIGINATE"""
"1376,""CROOKED,POLITICS,POLITICIAN,MAYOR"""
"1377,""KIDS,CHILDREN,PLAYING"""
"1378,""PIECE,PORTION,PART"""
"1379,""OZONE,ENVIRONMENT,ATMOSPHERE"""
"1380,""WALKER,PERSON,ELDERLY"""
"1381,""FUMES,SMOG,POLLUTION"""
"1382,""BIOLOGIST,BIOLOGY,MARINE"""
"1383,""SEXY,APPEAL,ATTRACTIVE"""
"1384,""EGG,EGGS,YOKE,YOLK"""
"1385,""START,BEGIN,ENGAGE"""
"1386,""TRENCH,GULLY,DEEP"""
"1387,""SASH,RIBBON,BOW"""
"1388,""PRICE,CHEAP,BARGAIN,VALUE,SALES,MARKET"""
"1389,""SWEETHEART,SEX,MATE,LOVER,GIRLFRIEND,PARTNER"""
"1390,""PORCUPINE,THORN,PRICKLY,NEEDLE,CACTUS"""
"1391,""DASH,BOARD,DART"""
"1392,""WEIGH,MASS,WEIGHT"""
"1393,""PLEASANT,DELIGHT,NICE"""
"1394,""PATH,TRAIL,FOLLOW"""
"1395,""ACTIVE,RUNNER,RUNNING"""
"1396,""NOISE,LOUD,QUIET"""
"1397,""BRILLIANT,SUN,BRIGHT,SUNSHINE"""
"1398,""ANSWER,OUTCOME,VERDICT,RESULT,CONCLUSION"""
"1399,""SEVERE,EXTREME,MILD,HARSH"""
"1400,""FINE,ARIGHT,OKAY"""
"1401,""SCHOOL,ANXIETY,STRESS,WORRY,EXCITED"""
"1402,""BLESS,BLESSING,THANKS"""
"1403,""MUSK,SMELT,SCENT,ODOR,INCENSE,AROMA,COLOGNE,FRAGRANCE,PERFUME,SMELL"""
"1404,""RESERVATION,HOLD,RESERVE"""
"1405,""BUILDING,TOWER,SKYSCRAPER"""
"1406,""TECHNICIAN,COMPUTER,ENGINEER"""
"1407,""COLD,MARBLE,STONE"""
"1408,""TAXI,PASSENGER,BUS,DRIVER,CAB,RIDER"""
"1409,""SEE,TOUR,LOOK"""
"1410,""FINISH,END,ENDING,FINISHED,DONE,RESULT,VERDICT,OUTCOME,FINAL"""
"1411,""MOP,BUCKET,PAIL"""
"1412,""CAKE,PIE,CREAM"""
"1413,""LOOSE,GIVE UP"""
"1414,""CORD,PLUG,EXTENSION"""
"1415,""COMPACT,MAKE UP"""
"1416,""COMMENT,REMARK,RUDE"""
"1417,""IGNORE,AVOID,LEAVE,REJECT,SHUN,DISOWN,NEGLECT"""
"1418,""BIAS,PREJUDICE,RACE,MINORITY"""
"1419,""BILLBOARD,COMMERCIAL,SLOGAN,AD,ADVERTISEMENT"""
"1420,""OPINION,OWN,MINE"""
"1421,""NONE,LEAST,LESS"""
"1422,""IMAGINATION,MIND,IMAGINE"""
"1423,""FUMES,ODOR,SMELL"""
"1424,""ALTO,CHORUS,SINGER,SONNET,SONG,OPERA,RHYME,POETRY,REFRAIN,CHOIR,VERSE,MUSIC,TENOR,SING"""
"1425,""DIE,DEATH,END,DEAD"""
"1426,""QUESTION,HYPOTHESIS,THEORY"""
"1427,""GREEN,PLAY DOUGH"""
"1428,""TRAGEDY,TRAUMA,CRISIS,DISASTER"""
"1429,""DISBELIEVE,BELIEVE,DISBELIEF"""
"1430,""FUN,HIGH SCHOOL"""
"1431,""BLOSSOM,BLOOM,GROW"""
"1432,""CHAPTER,VERSE,PSALM"""
"1433,""BUMP,HILL,LUMP"""
"1434,""DRY,OASIS,PARCHED,THIRST,THIRSTY"""
"1435,""STAIN,SPOT,CLOTHES"""
"1436,""DIE,DROWN,DEATH,DEAD"""
"1437,""SPAWN,REPRODUCE,CREATE,MAKE"""
"1438,""RECORD,MICROPHONE,LISTEN"""
"1439,""HOUSE,LIVE,LIVING"""
"1440,""CONSCIENCE,THOUGHT,THINK"""
"1441,""HYPNOTIZE,SPELL,TRANCE"""
"1442,""ETERNITY,FOREVER,HEAVEN,ETERNAL,DESTINY"""
"1443,""CORNBEEF,BREAKFAST,BACON,SAUSAGE"""
"1444,""CHIP,CHIPS,POTATO"""
"1445,""FAITHFUL,HUSBAND,LOYALTY"""
"1446,""CAPABILITY,STRENGTH,ABILITY"""
"1447,""TEST TUBE,HOLDER"""
"1448,""FEEL,TASTE,TOUCH"""
"1449,""VOODOO,DEVIL,CURSE"""
"1450,""THUNDER,STORM,LIGHTNING"""
"1451,""SAIL,WIND,SAILING"""
"1452,""FANGS,DRACULA,VAMPIRE,TEETH"""
"1453,""PIPE,CIGARETTE,CIGAR,SMOKE,TOBACCO"""
"1454,""SING,NOISE,LOUD"""
"1455,""FINISH,OVER,ENDING,FINISHED,DONE,FINAL"""
"1456,""PATH,WAY,TRAIL"""
"1457,""LOOK,MAGNIFY,SEE,LENS,MICROSCOPE,TELESCOPE"""
"1458,""SHADOW,BLACK,SHADE"""
"1459,""ME,WEIRD,ABNORMAL,BIZARRE"""
"1460,""NOTHING,WORTHLESS,USELESS"""
"1461,""HYPOTHESIS,THEORY,THESIS,THEOREM"""
"1462,""CELERY,TUNA,SALAD"""
"1463,""EARS,HEAR,LISTEN"""
"1464,""DISAGREEMENT,AGREEMENT,ARGUMENT"""
"1465,""TRIUMPH,GLORY,VICTORY"""
"1466,""RIBBON,GIFT,PRESENT,BOW"""
"1467,""REFLECT,REFLECTION,MIRROR"""
"1468,""SMALL,THIN,SLENDER"""
"1469,""HIGH,DOPE,COCAINE,MARIJUANA,STONED"""
"1470,""DRENCH,PUDDLE,DRIP,BOOTS,GALOSHES,RAIN"""
"1471,""DECORATION,HOLIDAY,ORNAMENT,DECORATE,CHRISTMAS"""
"1472,""PART,BIT,PIECE,PORTION"""
"1473,""VOLCANO,HOT,LAVA,MOLTEN"""
"1474,""PART,SECTION,PIECE,PORTION"""
"1475,""CURTAINS,BLINDS,CURTAIN,SHADE,DRAPES"""
"1476,""BAGEL,BUTTER,TOASTY"""
"1477,""WORLD,CONTINENT,NATION"""
"1478,""HULL,SHIP,BOAT"""
"1479,""PLATE,DISHES,NAPKIN,SILVERWARE,DINNER,PLATES,TRAY"""
"1480,""ASK,REQUEST,DEMAND"""
"1481,""REALIZE,RECOGNITION,ACKNOWLEDGE"""
"1482,""APPEARANCE,LOOKS,MIRROR"""
"1483,""LOST,HAVE,GET"""
"1484,""BEAUTIFUL,MERMAID,PRETTY"""
"1485,""CHECKING,ACCOUNT,CHECKBOOK"""
"1486,""FASTEN,HOLD,PAPERCLIP"""
"1487,""COURSE,SCHOOL,CLASS"""
"1488,""CONFUSION,STUPID,DUMB"""
"1489,""ANATOMY,BODY,CHROMOSOMES,PHYSIOLOGY"""
"1490,""PHONE,RECEPTIONIST,TELEPHONE"""
"1491,""MARKER,PLACE,MARK"""
"1492,""TOPIC,MEANING,THEME"""
"1493,""SWEET,TANGERINE,SOUR,TANGY,BITTER,TART"""
"1494,""SENSITIVE,GIRL,WOMAN"""
"1495,""TELESCOPE,UNIVERSE,SKY,MOON,METEORITE,ASTEROID,METEOR,COMET,ASTRONOMY"""
"1496,""BEAUTIFUL,PRINCESS,PALACE"""
"1497,""MEN,AIR FORCE"""
"1498,""MYSTERY,STORY,SUSPENSE,HORROR"""
"1499,""BUTTER,JAM,JELLY"""
"1500,""HAZE,SMOG,SMOKE,POLLUTION"""
"1501,""CHERRY,STRAWBERRY,BLACKBERRY,RASPBERRY,BLUEBERRY,BERRY"""
"1502,""EGGS,EGG,SCRAMBLE"""
"1503,""FOOL,GULLIBLE,IGNORANT"""
"1504,""ARIGHT,OKAY,COOL"""
"1505,""BOOK,GRAMMAR,VOCABULARY,ENGLISH"""
"1506,""CALCULATE,FIGURE,NUMBER"""
"1507,""ROCK,LEDGE,CLIFF"""
"1508,""MAKE UP,FAKE"""
"1509,""PRISONER,CAPTIVE,SLAVE"""
"1510,""LAW,COURT,RIGHTS"""
"1511,""SHUTTLE,ASTRONAUT,ROCKET,LAUNCH"""
"1512,""ARENA,BASKETBALL,FOOTBALL,SPORTS,BASEBALL,STADIUM"""
"1513,""BUSH,PRICKLY,THORN"""
"1514,""RULER,MONARCHY,LEADER,LEADERSHIP,DICTATOR,MONARCH,EMPIRE,EMPEROR,ANARCHY"""
"1515,""ENRAGE,CALM,TEMPER"""
"1516,""URGE,COMPULSION,TENDENCY"""
"1517,""NEW YORK,CRIME"""
"1518,""TOMORROW,YESTERDAY,EVERYDAY"""
"1519,""KNIGHT,MEDIEVAL,DRAGON"""
"1520,""IMPRESSION,EXPRESSION,MOOD"""
"1521,""ILL,MENTAL,TREATMENT"""
"1522,""BELOW,BASEMENT,UNDER"""
"1523,""WHAT,HOW,WHO,WHEN,WHOM,WHERE,WHY"""
"1524,""WASTED,BEER,DRUNK"""
"1525,""CRAVE,CANDY,ICE CREAM,CHOCOLATE"""
"1526,""CHAIR,ARM,LEG"""
"1527,""ESSAY,POEM,STORY,READ,POETRY,SUMMARY,PROSE,SYNOPSIS,PARAGRAPH,EDITORIAL,ARTICLE,NEWSPAPER,NEWS"""
"1528,""SAFARI,GAZELLE,ZOO,GIRAFFE,ZEBRA,ANIMAL"""
"1529,""STUPID,DUMB,KNOWLEDGE"""
"1530,""WARDROBE,HANGER,SHIRT"""
"1531,""VIOLENCE,CRIME,ASSAULT,JAIL,CRIMINAL,RAPE"""
"1532,""UNIVERSITY,WORK,COLLEGE"""
"1533,""BULB,LAMP,FUSE"""
"1534,""HUNG,NOOSE,HANG,DEAD"""
"1535,""TALENT,ART,ARTIST"""
"1536,""UNEMPLOYMENT,CAREER,AGENCY,PROFESSION,JOB,PROFESSIONAL,EMPLOYMENT,OCCUPATION"""
"1537,""SLEEP,REST,BED,RELAX"""
"1538,""ANGER,MAD,BRISTLE"""
"1539,""CONFUSION,DILEMMA,CONFLICT"""
"1540,""ATHLETIC,ATHLETE,SPORT"""
"1541,""PROSECUTE,THEFT,CHEAT,ILLEGAL,OUTLAW,DISHONEST,WRONG,UNLAWFUL,CRIME,VIOLATION,ADMIT,TRAITOR,BETRAY,DECEIVE,TREASON,GUILT,GUILTY,STEAL"""
"1542,""MOVIE,FBI,SPY"""
"1543,""COMPASSION,HEART,KINDNESS"""
"1544,""GROSS,YUCK,VULGAR,DISGUSTING,FOUL,TERRIBLE,AWFUL,UNPLEASANT,REPULSIVE,DISGUST,HORRIBLE,CRUDE,NASTY"""
"1545,""FRONT,FORWARD,BACKWARD,BACK,AHEAD"""
"1546,""FLASHLIGHT,LIGHT,GLOW"""
"1547,""LIMP,WALK,CRUTCH"""
"1548,""BLOW,EXPLODE,ERUPT,BOMB,BLAST"""
"1549,""MOOSE,WILDERNESS,DEER,REINDEER,WOODS,FOREST"""
"1550,""HAIR,SHOWER,BLEACH,WASH"""
"1551,""BABY,CARE,CHILD"""
"1552,""PAPER,SHEET,SHEETS"""
"1553,""STAIRWAY,DECLINE,RAISE,DESCENT,STAIR,STAIRS,LADDER,RISE,ASCEND,ELEVATOR,ASCENT,STEP,INFLATION,STEPS,DESCEND,ESCALATOR,CLIMB,BALCONY,DOWNSTAIRS,UPSTAIRS"""
"1554,""SING,BIRD,SONG"""
"1555,""BEAST,GORILLA,MONSTER"""
"1556,""SINUS,SYMPTOM,HEADACHE"""
"1557,""UNJUST,UNFAIR,JUST"""
"1558,""SECLUDED,LONELY,ISOLATED,INTROVERT,ALONE,WITHDRAWN"""
"1559,""CRAMP,PAIN,ABDOMEN,HURT,DISCOMFORT,ACHE,STOMACH"""
"1560,""SPELL,DICTIONARY,DEFINE"""
"1561,""SHIP,BOAT,BARTER"""
"1562,""WASP,PAIN,STING,HURT"""
"1563,""SHINE,NEW,SHINY"""
"1564,""PADDING,COMFORT,SOFT,COZY,CUSHION"""
"1565,""CURRENT,FLOW,DOWNSTREAM,UPSTREAM"""
"1566,""DENTIST,ORTHODONTIST,DOCTOR"""
"1567,""BORING,LITERATURE,POETRY,POEM"""
"1568,""ANGER,IRRITATING,MAD"""
"1569,""GOOSE,GEESE,GANDER"""
"1570,""FAINT,SPELL,DIZZY"""
"1571,""DEFEND,DEFENSE,GUARD"""
"1572,""CANAL,MOAT,BOAT"""
"1573,""DROP,PUT DOWN"""
"1574,""GROWN,GROWTH,ADULT,MATURE,GROW"""
"1575,""ELK,MOOSE,ANTELOPE,ANTLER,HORN"""
"1576,""CLEANER,DISHWASHER,LIQUID,FLUID,DETERGENT,BLEACH"""
"1577,""BOMB,CANNON,EXPLODE,BANG,BOOM,DYNAMITE,EXPLOSION,BLAST"""
"1578,""ADVANCE,BEHIND,AHEAD"""
"1579,""FASTEN,BUCKLE,STRAP,BELT"""
"1580,""CRITICISM,CRITICIZE,DISGRACE,INSULT,SHAME,DEGRADE,OFFEND,HURT,HUMILIATE"""
"1581,""CONFIDENT,CONFIDENCE,SECRET"""
"1582,""SUBMARINE,SUB,SUBWAY"""
"1583,""MURDER,MURDERER,BLOOD,VICTIM,KILLER"""
"1584,""NEW YORK,ADDRESS"""
"1585,""GIRL,WOMAN,LADY"""
"1586,""CAP,GRADUATION,GRADUATE"""
"1587,""FORGIVE,BEG,PLEAD"""
"1588,""UNEQUAL,EQUAL,SUGAR"""
"1589,""TABLE,CHAIR,SEAT,SIT"""
"1590,""THROAT,COUGH,CHOKE"""
"1591,""CAKE,DESSERT,TOPPING"""
"1592,""EXPLODE,BLAST,ROCKET"""
"1593,""SERVANT,MAID,BLACK"""
"1594,""NEW YORK,CALIFORNIA"""
"1595,""FLOWERS,LANDSCAPE,GROUNDS"""
"1596,""CAREFUL,BEWARE,CAUTIOUS,CAUTION,YIELD"""
"1597,""FOUR,FIVE,TEN"""
"1598,""BAG,TRASH,GARBAGE"""
"1599,""OVAL,HOOP,RING,LOOP"""
"1600,""TEA,BRISK,COFFEE"""
"1601,""COUPLE,LOVERS,TWO"""
"1602,""BLUSH,LIPSTICK,ROUGE"""
"1603,""POEM,LOVE,POETRY"""
"1604,""APPEARANCE,LOOKS,FACE"""
"1605,""LOUNGE,BEER,DRINK,LIQUOR"""
"1606,""ORGANIZATION,GANG,MOB"""
"1607,""GAVEL,GRAVEL,DIRT"""
"1608,""SMALL,DORM,APARTMENT"""
"1609,""MOTION,SLOW,MOVEMENT"""
"1610,""FOOD,DRINK,EAT"""
"1611,""BEER,INFLUENCE,ALCOHOL"""
"1612,""LANE,DRIVE,FAST,FREEWAY,DROVE,HIGHWAY,INTERSTATE"""
"1613,""ODOR,SMELL,ONION"""
"1614,""PROSECUTE,CHARGE,ACCUSE"""
"1615,""NOUN,ADVERB,PRONOUN,ADJECTIVE,VERB,WORD,PROVERB"""
"1616,""CUSTOMER,PERSON,CLERK,CASHIER,CONSUMER"""
"1617,""CHEMICAL,SCIENCE,ELEMENTS,COMPONENTS,CHEMISTRY"""
"1618,""MAGNET,STEEL,METAL"""
"1619,""DONATION,VOLUNTEER,HELP,CHARITY"""
"1620,""ORIGINATE,OWN,YOURS"""
"1621,""TRUSTWORTHY,RELIABLE,RESPONSIBLE"""
"1622,""TORCH,FLAME,BLAZE,CANDLE,INFERNO,FIREPLACE"""
"1623,""GYMNAST,FLEXIBLE,GYMNASTICS,ACROBAT"""
"1624,""PLOW,SHOVEL,WORK,RAKE,HOE,FARMER"""
"1625,""CORPORATION,INDUSTRY,AGENCY,COMPANY"""
"1626,""SWIM,UNDERWATER,SWIMMER,MARINE,DIVE,DOLPHIN,DIVER,FIN,SNORKEL,CORAL,REEF,DIVING,SCUBA,FLIPPER,WHALE,WALRUS,PORPOISE,MERMAID"""
"1627,""DARK,FOGGY,GLOOMY,CLOUDY"""
"1628,""FEMALE,SHE,HER"""
"1629,""VIRGIN,GIRL,WOMAN,INNOCENCE"""
"1630,""CITY,NEW YORK"""
"1631,""BILLBOARD,PICTURE,ADVERTISEMENT"""
"1632,""COBRA,SNAKE,MONGOOSE"""
"1633,""COTTAGE,WOODS,CABIN"""
"1634,""PARTY,REJOICE,NEW YEAR,CELEBRATE,CELEBRATION"""
"1635,""FORCEFUL,VIOLENT,AGGRESSIVE,ROUGH"""
"1636,""MEEK,WEAKNESS,FRAGILE,WEAK,FRAIL,TIMID,FEEBLE,VULNERABLE"""
"1637,""DELAY,LONG,WAIT"""
"1638,""MOONLIGHT,ROMANCE,ROMANTIC"""
"1639,""IMITATE,PORTRAY,COPY"""
"1640,""RIGHTEOUSNESS,HOLY,RELIGION,PRIEST,RELIGIOUS,PIOUS"""
"1641,""INCH,FOOT,MILE,METER,MEASUREMENT"""
"1642,""KITCHEN,LIVING ROOM,BEDROOM"""
"1643,""CRUSH,DEMOLISH,DESTROY,KILL,SMASH"""
"1644,""CURIOUS,CURIOSITY,CAT"""
"1645,""GIRL,WOMAN,SHE,HER"""
"1646,""PREMISES,HOUSE,TERRITORY"""
"1647,""ETHICS,VALUE,MORALS"""
"1648,""MESSY,ROOMMATE,SLOB"""
"1649,""LIMP,FRACTURE,CRUTCH"""
"1650,""FORK,PLATE,CUPBOARD,DISHES,UTENSIL,NAPKIN,SILVERWARE,CABINET,SPATULA,SPOON,DISH,PLATES,CUPS,TRAY"""
"1651,""BAR,PASS OUT"""
"1652,""LEGISLATURE,ATTORNEY,COURT,LAWYER,LAWS"""
"1653,""SHOOT,CANNON,GUN,BANG,BOOM,BLAST"""
"1654,""TURTLE,SWAMP,CREEK,POND"""
"1655,""JEWELRY,GOLD,BRACELET,CHAIN,BEAD,NECKLACE"""
"1656,""MACHINE,INVENT,INVENTOR"""
"1657,""CUT,PAIN,HURT"""
"1658,""CONCRETE,BRICK,CEMENT,CONSTRUCT,MASON"""
"1659,""STUPID,DUMB,SOPHISTICATED"""
"1660,""ARCTIC,NORTH,PENGUIN"""
"1661,""TEST,MAKE UP"""
"1662,""REFUSE,DENIAL,ACCEPT,REJECT"""
"1663,""SLOPE,STEEP,INCLINE,CLIFF"""
"1664,""DIARY,DAIRY,MILK"""
"1665,""PEANUT BUTTER,STICKY"""
"1666,""TOWN,NEIGHBORHOOD,HOUSE,COMMUNITY,SUBURB,VILLAGE,GHETTO"""
"1667,""ELECTRICIAN,MEN,TOOLS"""
"1668,""STOVE,HEAT,MICROWAVE,HOT,OVEN,COOK,BROIL,FRY,BOIL"""
"1669,""ODOR,VAPOR,SMELL"""
"1670,""MAZE,PUZZLE,PATTERN"""
"1671,""VERB,NOUN,SENTENCE"""
"1672,""DIE,SUICIDE,DEATH,DEAD"""
"1673,""CURRENT,EVENT,RECENT"""
"1674,""AFFECT,EFFECT,CHANGE"""
"1675,""ABDUCT,KIDNAP,TAKE"""
"1676,""PORK,BOILED,GRILL,STEW,ROAST,BARBECUE,STEAK,GRAVY,MEAT,POTATOES,RIBS,BACON,BROIL,RIB,CHARCOAL,SAUSAGE,PICNIC,HAM,BOLOGNA,MEATBALLS,CORNBEEF,FRY,FRIED,BAKED,COOKOUT,TURKEY,BEEF,COOKED,UNCOOKED"""
"1677,""COOKING,PARSLEY,OREGANO"""
"1678,""SUNDAY,REST,RELAX"""
"1679,""PERFORM,ENTERTAIN,ACTOR"""
"1680,""EXPENSE,COST,BUY,VALUE"""
"1681,""LIFE,TREES,NATURE"""
"1682,""OPERATION,OPERATE,BLOOD,SURGERY"""
"1683,""DORM,LIVING,LIVE,APARTMENT"""
"1684,""ROPE,SPOOL,STRING,THREAD,YARN"""
"1685,""SHOOT,BULLET,GUN,KILL,RIFLE,SHOOTING"""
"1686,""FUN,SILLY,NONSENSE"""
"1687,""COZY,SOFA,COMFORTABLE,HAMMOCK,CHAIR,COUCH,RECLINER"""
"1688,""STONE,ASPHALT,CEMENT,CONCRETE,ROCK,GRANITE,BRICK,SLAB,MARBLE"""
"1689,""REPENTANCE,PUNISHMENT,SIN"""
"1690,""MANSION,CASTLE,PALACE"""
"1691,""HALLWAY,DOORWAY,HOUSE"""
"1692,""SEW,HEM,DRESS,SEAM"""
"1693,""HAIRY,FURRY,FUZZY"""
"1694,""UNUSED,NEW,USED,WORN"""
"1695,""DISTANCE,METRIC,MEASURE,METER,HEIGHT,WIDTH,LENGTH,KILOMETER,MEASUREMENT,INCH,MILE"""
"1696,""DOMINANT,RUDE,FORCEFUL,VIOLENT,AGGRESSIVE,MEAN"""
"1697,""INTAKE,DIGESTION,INTESTINE,FOOD,LIVER,STOMACH,EAT,DIGEST"""
"1698,""HEART,LIVER,ORGAN"""
"1699,""PORCUPINE,THORN,STICK"""
"1700,""HALLWAY,NARROW,PASSAGE"""
"1701,""HISTORY,TRADITION,HERITAGE"""
"1702,""KIND,PERSONALITY,NICE"""
"1703,""THEORY,PSYCHOLOGY,LAB,RESEARCH,EXPERIMENT,ANALYSIS,SCIENTIFIC"""
"1704,""BLOCKADE,STOP,BARRIER"""
"1705,""DETECTIVE,SPY,NOVEL"""
"1706,""BRAIN,CONCENTRATE,MIND"""
"1707,""DIRECTIONS,DIRECTION,LOST"""
"1708,""MONEY,ADMISSION,FEE,TOLL"""
"1709,""SYRINGE,INJECTION,MEDICATION,SHOT"""
"1710,""IMITATE,PORTRAY,LIKE"""
"1711,""TEN,DECADE,CENTURY"""
"1712,""SILK,SHIRT,COTTON"""
"1713,""CHARACTERISTIC,QUALITY,TRAIT"""
"1714,""HELPFUL,SUGGESTION,HINT"""
"1715,""TIGHT,JEANS,PANTS"""
"1716,""CONQUEST,CONQUER,FIGHT"""
"1717,""BEER,DRINK,PITCHER"""
"1718,""PELICAN,SEAGULL,GULL,BIRD"""
"1719,""FLY,WASP,MOSQUITO"""
"1720,""SUN,SUNSHINE,RAIN"""
"1721,""ARIGHT,OKAY,GOOD"""
"1722,""SELL,REAL ESTATE"""
"1723,""FUNERAL,MEMORIAL,SERVICE"""
"1724,""SALARY,WAGE,EARN,INCOME"""
"1725,""STRESS,ANXIETY,FRUSTRATION"""
"1726,""BLOCKADE,OBSTACLE,BARRIER"""
"1727,""BABY,VIRGIN,INNOCENCE,INNOCENT,CHILD"""
"1728,""STRESS,ANXIETY,ULCER,WORRY"""
"1729,""UNNATURAL,DIFFERENT,STRANGE,WEIRD,AWKWARD"""
"1730,""WASHER,DRYER,CLEAN"""
"1731,""CORPSE,SKELETON,SKULL"""
"1732,""JEEP,TRUCK,VEHICLE"""
"1733,""PROVERB,BIBLE,PSALM"""
"1734,""LEAVE,WANDER,STRAY"""
"1735,""PROFESSIONAL,EXECUTIVE,PROFESSION"""
"1736,""STAIN,BLOT,SPILL"""
"1737,""COLOR,BLUSH,LIPSTICK,ROUGE"""
"1738,""OZONE,ENVIRONMENT,ATMOSPHERE,AIR"""
"1739,""DIFFERENT,UNEQUAL,OPPOSITE,EQUAL,SAME,ALIKE"""
"1740,""BEER,DRINK,BUD"""
"1741,""QUART,OUNCE,POUND"""
"1742,""UPTIGHT,LOOSE,TENSE"""
"1743,""CABINET,SHELF,COUNTER,DESK"""
"1744,""FEEL,TOUCH,FRISK"""
"1745,""GIRAFFE,ZOO,ZEBRA,SAFARI,GAZELLE"""
"1746,""DAIRY,DIARY,PRIVATE"""
"1747,""STATUS,PRESTIGE,RANK"""
"1748,""CLAW,SCRATCH,PAW"""
"1749,""ALIKE,SAME,UNIFORM"""
"1750,""INCREASE,REDUCE,DECREASE,DIMINISH"""
"1751,""CRAZY,NUTS,NUT"""
"1752,""ARM,VEIN,LEG"""
"1753,""GLOOMY,RAIN,CLOUDY"""
"1754,""YOKE,YELLOW,YOLK"""
"1755,""SWAN,GOOSE,DUCK,MONGOOSE,QUAIL,BIRD"""
"1756,""WRINKLE,IRON,CREASE"""
"1757,""PAIN,TORTURE,HURT"""
"1758,""VIRGIN,PURE,INNOCENT,INNOCENCE"""
"1759,""MOB,GROUP,GANG"""
"1760,""COOKIE,BAKE,BAKED,RECIPE"""
"1761,""HEAD,PRINCIPLE,PRINCIPAL"""
"1762,""MARE,COLT,PONY"""
"1763,""SINCE,AFTER,BEFORE"""
"1764,""VEGETABLE,LETTUCE,PARSLEY,SALAD,BROCCOLI"""
"1765,""CHEESE,RAT,MOUSE,MICE"""
"1766,""ETIQUETTE,DINNER,MANNERS"""
"1767,""LOAD,FULL,FILL"""
"1768,""DIVING,DIVE,DIVER,POOL,SWIMMER"""
"1769,""LADY,GIRL,WOMAN,DRESS"""
"1770,""FOOD,ORIENT,CHINESE"""
"1771,""BIOLOGIST,LIFE,BIOLOGY"""
"1772,""JAM,JELLY,PEANUT BUTTER"""
"1773,""OPERATOR,PHONE,TELEPHONE"""
"1774,""GYMNAST,GYMNASTICS,TUMBLE"""
"1775,""NEW YORK,SUBWAY"""
"1776,""EGO,MEN,COCKY"""
"1777,""SEE,LOOK,SHOW"""
"1778,""GRANDPARENTS,GRANDPA,FAMILY"""
"1779,""REFUSE,AGREE,ACCEPT"""
"1780,""CAR,BIKE,BICYCLE"""
"1781,""MCDONALD'S,FRIES,FAT"""
"1782,""BEAUTIFUL,SLENDER,ATTRACTIVE,PRETTY,GORGEOUS,SEXY,HANDSOME"""
"1783,""GIFT,HOLIDAY,CHRISTMAS,PRESENT"""
"1784,""OVERFLOW,FULL,FILL"""
"1785,""CATASTROPHE,EMERGENCY,CRISIS"""
"1786,""BEER,DRINK,POUR,SPILL"""
"1787,""SERVANT,WAITER,BUTLER"""
"1788,""ILLNESS,HEALTH,MENTAL,DISEASE"""
"1789,""DEVELOPMENT,NEIGHBORHOOD,COMMUNITY"""
"1790,""GLOOMY,UPSET,SAD"""
"1791,""LABYRINTH,MAZE,GAME,PUZZLE"""
"1792,""GRANITE,STONE,HARD,MARBLE"""
"1793,""TRADE,SWAP,EXCHANGE"""
